POA 	 Muireigh, Ballydavid, Kerry
€119,000 	 5 Bruach Na Gaile, Moyvane, Moyvane, Kerry
€375,000 	 Ardaneanig, Killarney, Kerry
€235,000  -€10,000 on 17th Sep 20 	 Annagh Lawn, Blennerville, Tralee, Co. Kerry, V92 X2HV
€230,000 	 1 Deenagh Close, 50 New Street, Killarney, Co. Kerry, V93Y8K5
€277,500  €17,500 on 29th Jul 20 	 1 Fortfield, Killerisk, Tralee, Kerry
€120,000 	 78 Cois Abhainn, Tralee, Kerry
€195,000 	 43 Cill Muire, Kenmare, Kerry
€115,000 	 78 Charles Street, Listowel, Kerry
€285,000 	 V93 PH96, Kilgarvan, Kerry
€140,000 	 29 Boherbee , Tralee, Kerry
POA 	 Ref 879 - Land at Beenbane, Waterville, Kerry
€425,000 	 Shamrock Lodge, The Spa, Tralee, Co. Kerry, V92 W2AV
€99,000  -€16,000 on 15th Sep 20 	 Coolatoosane, Dromin Hill, Listowel, Kerry
€199,000 	 Ballyhorgan, Lixnaw, Kerry
€199,000 	 Leampreghane, Kilflynn, Tralee, Kerry
€139,500 	 7 Doon Bay Chalets, Doon Bay Road, Ballybunion, Kerry
€145,000 	 41 Knockmoyle , Tralee, Kerry
€315,000  -€20,000 on 14th Aug 20 	 1 The Paddocks, Listowel, Kerry
€127,500 	 12 Rock Street, Tralee, Kerry
